,cell_specimen_id,tld1_name,imaging_depth,pref_ori_sg,pref_sf_sg,g_osi_sg,responsive_sg,depth_range,pref_phase_sg
166,570928220,Emx1-IRES-Cre,175.0,60.0,0.16,0.620175367271,True,100.0,0.75
168,570928224,Emx1-IRES-Cre,175.0,150.0,0.02,0.365357998551,False,100.0,0.25
169,570928232,Emx1-IRES-Cre,175.0,90.0,0.32,0.808013191644,False,100.0,0.5
170,570929309,Emx1-IRES-Cre,175.0,0.0,0.02,0.445607577215,True,100.0,0.0
171,570929466,Emx1-IRES-Cre,175.0,60.0,0.32,0.363415218258,True,100.0,0.25
172,570928404,Emx1-IRES-Cre,175.0,30.0,0.04,0.914487788498,False,100.0,0.5
173,570928058,Emx1-IRES-Cre,175.0,60.0,0.32,0.305621297228,False,100.0,0.0
174,570927268,Emx1-IRES-Cre,175.0,30.0,0.32,0.946628032499,False,100.0,0.25
177,570929126,Emx1-IRES-Cre,175.0,60.0,0.02,0.639776608301,False,100.0,0.0
178,570928763,Emx1-IRES-Cre,175.0,150.0,0.04,0.669535875228,False,100.0,0.75
179,570928890,Emx1-IRES-Cre,175.0,0.0,0.02,0.903333618376,True,100.0,0.25
181,589228059,Emx1-IRES-Cre,175.0,30.0,0.02,0.670357620427,False,100.0,0.0
183,570926834,Emx1-IRES-Cre,175.0,60.0,0.04,0.42159209846,False,100.0,0.0
184,589228073,Emx1-IRES-Cre,175.0,150.0,0.08,0.724451452776,False,100.0,0.5
185,589228163,Emx1-IRES-Cre,175.0,60.0,0.02,0.648445190103,False,100.0,0.25
186,589228048,Emx1-IRES-Cre,175.0,30.0,0.32,0.677940218678,False,100.0,0.25
187,570928639,Emx1-IRES-Cre,175.0,0.0,0.32,0.658913260946,False,100.0,0.25
190,570928632,Emx1-IRES-Cre,175.0,120.0,0.32,0.893986498119,False,100.0,0.25
192,570929295,Emx1-IRES-Cre,175.0,150.0,0.02,0.805677608223,False,100.0,0.5
193,570927718,Emx1-IRES-Cre,175.0,30.0,0.04,0.86187055686,True,100.0,0.5
194,570927725,Emx1-IRES-Cre,175.0,0.0,0.08,0.68679757556,False,100.0,0.0
196,570927697,Emx1-IRES-Cre,175.0,120.0,0.04,0.684582455782,True,100.0,0.5
197,570927701,Emx1-IRES-Cre,175.0,90.0,0.32,0.77885144333,False,100.0,0.0
198,570927707,Emx1-IRES-Cre,175.0,30.0,0.04,0.215671129079,False,100.0,0.5
199,570928671,Emx1-IRES-Cre,175.0,120.0,0.04,0.803639565657,True,100.0,0.25
200,570928667,Emx1-IRES-Cre,175.0,0.0,0.02,0.869369271884,True,100.0,0.25
203,570928921,Emx1-IRES-Cre,175.0,120.0,0.08,0.647537198482,False,100.0,0.0
204,570928956,Emx1-IRES-Cre,175.0,120.0,0.16,0.766408454682,True,100.0,0.25
205,570927108,Emx1-IRES-Cre,175.0,150.0,0.02,0.694329107006,False,100.0,0.75
206,570927098,Emx1-IRES-Cre,175.0,90.0,0.04,0.874034468398,True,100.0,0.5
207,570927132,Emx1-IRES-Cre,175.0,90.0,0.02,0.742125594225,True,100.0,0.5
208,570927118,Emx1-IRES-Cre,175.0,120.0,0.04,0.793760596423,True,100.0,0.25
